iter	Passed	Remaining
0	33	49749
1	54	40757
2	75	37739
3	96	36158
4	117	35223
5	138	34605
6	160	34207
7	181	33874
8	203	33631
9	224	33395
10	245	33259
11	267	33112
12	288	32998
13	310	32984
14	332	32870
15	353	32795
16	377	32925
17	398	32830
18	420	32753
19	441	32660
20	462	32594
21	484	32523
22	505	32448
23	526	32392
24	547	32317
25	568	32239
26	590	32194
27	611	32139
28	632	32073
29	653	32015
30	674	31947
31	695	31889
32	715	31827
33	737	31784
34	757	31721
35	779	31681
36	800	31635
37	821	31604
38	842	31572
39	864	31541
40	885	31513
41	906	31474
42	927	31441
43	949	31405
44	970	31377
45	992	31366
46	1013	31339
47	1034	31300
48	1055	31258
49	1077	31245
50	1098	31209
51	1119	31172
52	1146	31309
53	1169	31306
54	1189	31259
55	1210	31218
56	1231	31172
57	1252	31130
58	1273	31093
59	1293	31053
60	1314	31015
61	1335	30980
62	1356	30947
63	1377	30916
64	1399	30887
65	1420	30863
66	1441	30841
67	1463	30813
68	1484	30785
69	1505	30757
70	1527	30733
71	1547	30701
72	1569	30675
73	1590	30651
74	1611	30623
75	1632	30591
76	1653	30562
77	1674	30528
78	1695	30497
79	1716	30468
80	1737	30434
81	1758	30402
82	1779	30379
83	1801	30361
84	1824	30371
85	1845	30340
86	1866	30308
87	1887	30282
88	1908	30250
89	1928	30219
90	1949	30185
91	1970	30158
92	1991	30126
93	2011	30093
94	2032	30060
95	2053	30031
96	2074	30006
97	2095	29976
98	2116	29946
99	2137	29919
100	2157	29890
101	2178	29860
102	2199	29834
103	2220	29805
104	2241	29780
105	2262	29751
106	2283	29727
107	2304	29699
108	2325	29671
109	2345	29644
110	2366	29616
111	2401	29763
112	2434	29881
113	2459	29905
114	2482	29898
115	2503	29866
116	2523	29834
117	2544	29804
118	2566	29779
119	2586	29749
120	2607	29721
121	2628	29691
122	2649	29663
123	2670	29631
124	2691	29601
125	2711	29572
126	2732	29542
127	2753	29513
128	2774	29484
129	2795	29455
130	2816	29428
131	2836	29399
132	2857	29370
133	2878	29342
134	2899	29314
135	2920	29286
136	2940	29259
137	2961	29232
138	2982	29207
139	3003	29179
140	3024	29154
141	3045	29126
142	3066	29099
143	3087	29073
144	3108	29046
145	3129	29019
146	3150	28992
147	3170	28967
148	3191	28941
149	3213	28918
150	3233	28891
151	3254	28864
152	3275	28838
153	3276	28637
154	3297	28613
155	3318	28587
156	3339	28563
157	3360	28538
158	3380	28514
159	3402	28492
160	3422	28467
161	3443	28443
162	3464	28420
163	3486	28398
164	3506	28374
165	3527	28348
166	3548	28327
167	3569	28303
168	3590	28280
169	3611	28257
170	3632	28233
171	3653	28210
172	3674	28186
173	3695	28162
174	3716	28136
175	3737	28112
176	3757	28088
177	3778	28065
178	3799	28041
179	3820	28016
180	3841	27994
181	3863	27975
182	3883	27949
183	3904	27926
184	3925	27901
185	3946	27878
186	3966	27852
187	3987	27829
188	4008	27806
189	4029	27782
190	4050	27760
191	4071	27736
192	4092	27712
193	4113	27690
194	4133	27665
195	4154	27643
196	4175	27619
197	4196	27598
198	4218	27581
199	4240	27561
200	4261	27538
201	4282	27517
202	4303	27494
203	4324	27472
204	4345	27450
205	4366	27427
206	4387	27406
207	4408	27383
208	4429	27360
209	4450	27339
210	4471	27316
211	4492	27293
212	4513	27270
213	4534	27249
214	4555	27225
215	4576	27202
216	4597	27180
217	4617	27155
218	4638	27132
219	4659	27110
220	4680	27088
221	4701	27064
222	4722	27042
223	4743	27020
224	4764	26999
225	4785	26977
226	4806	26954
227	4827	26934
228	4848	26912
229	4871	26899
230	4893	26880
231	4913	26857
232	4934	26835
233	4955	26812
234	4976	26788
235	4997	26764
236	5018	26742
237	5038	26719
238	5059	26696
239	5080	26673
240	5101	26651
241	5122	26630
242	5144	26609
243	5166	26596
244	5188	26577
245	5209	26557
246	5231	26538
247	5253	26519
248	5274	26499
249	5295	26479
250	5317	26459
251	5338	26438
252	5359	26418
253	5381	26397
254	5403	26379
255	5424	26359
256	5445	26338
257	5466	26317
258	5488	26297
259	5509	26277
260	5531	26259
261	5553	26239
262	5575	26222
263	5596	26203
264	5618	26183
265	5639	26161
266	5660	26141
267	5684	26129
268	5705	26108
269	5726	26086
270	5747	26063
271	5768	26042
272	5789	26019
273	5810	25999
274	5831	25976
275	5852	25954
276	5873	25931
277	5893	25907
278	5914	25884
279	5935	25862
280	5956	25838
281	5977	25815
282	5998	25794
283	6019	25772
284	6040	25749
285	6060	25726
286	6081	25704
287	6102	25680
288	6123	25658
289	6143	25634
290	6164	25612
291	6185	25589
292	6206	25567
293	6227	25545
294	6248	25523
295	6269	25500
296	6290	25479
297	6311	25456
298	6332	25433
299	6352	25411
300	6373	25389
301	6394	25366
302	6415	25343
303	6436	25321
304	6457	25299
305	6477	25275
306	6498	25253
307	6519	25230
308	6540	25207
309	6560	25185
310	6581	25163
311	6602	25141
312	6623	25119
313	6644	25097
314	6665	25074
